Name,Type,Coords,Image,Description,Hours,latitude,longitude,Short,Ev,floorplans
Stonehaven Apts,Building,"33.98401705816052, -117.33192029136661",https://live.staticflickr.com/65535/50814330076_8e3646dfcf_b.jpg,,,33.98401706,-117.3319203,STONE,,
Student Recreation Center (SRC),Building,"33.978849196942846, -117.32867026203184",https://live.staticflickr.com/65535/50814433327_55c53aed22_o.jpg,,"Monday	6:30AM–11PM
Tuesday	6:30AM–11PM
Wednesday	6:30AM–11PM
Thursday	6:30AM–11PM
Friday	6:30AM–7PM
Saturday	3–7PM
Sunday	3–11PM",33.9788492,-117.3286703,SRC,,
Student Services,Building,"33.97418943152255, -117.3296616457763",https://live.staticflickr.com/65535/50813581763_4b6c712dc9_o.jpg,,,33.97418943,-117.3296616,SSB,,
Student Success Center,Building,"33.974240795486644, -117.33055645441183",https://live.staticflickr.com/65535/51404237536_f6d0b4dce2_b.jpg,,,33.9742408,-117.3305565,SSC,,https://utils.gohighlander.app/map/floorplans/ssc.webp
UCR Baseball Complex,Building,"33.982246250628116, -117.33410431264535",,,,33.98224625,-117.3341043,,,
UCR Extension Center,Building,"33.97614548687842, -117.3394506447726",https://live.staticflickr.com/65535/50813581618_6d8846200c_b.jpg,,,33.97614549,-117.3394506,UCREX,,
University Lecture Hall (UNLH 1000),Building,"33.9756998339183, -117.3284236152146",https://live.staticflickr.com/65535/50813581583_25b39a1edf_o.jpg,,,33.97569983,-117.3284236,UNLH,,https://utils.gohighlander.app/map/floorplans/unlh.webp
University Office Building,Building,"33.97173529927461, -117.32495073457868",https://live.staticflickr.com/65535/50815038607_5a292a22b9_o.jpg,,,33.9717353,-117.3249507,UOB,,
University Theatre,Building,"33.971354256964325, -117.32887413320228",https://live.staticflickr.com/65535/50814339291_20cda264a5_b.jpg,,,33.97135426,-117.3288741,HUMN 400,,
University Village,Building,"33.97690120828535, -117.33759607202164",https://live.staticflickr.com/65535/50813581578_b743f5e22b_b.jpg,,,33.97690121,-117.3375961,UV,,
University Village Theater,Building,"33.97701700559124, -117.33788866640315",,,,33.97701701,-117.3378887,,,
USDA Salinity Laboratory,Building,"33.973720225617484, -117.32160600880492",,,,33.97372023,-117.321606,,,
Watkins Hall,Building,"33.9725680619397, -117.32901772372882",https://live.staticflickr.com/65535/50813581563_7a5b1c2b4a_b.jpg,,,33.97256806,-117.3290177,WAT,,https://utils.gohighlander.app/map/floorplans/watkins.webp
Watkins 1000,Building,"33.97320211147757, -117.32893471740381",,,,33.97320211,-117.3289347,,,
Webber Hall,Building,"33.9735214310645, -117.32533148834403",https://live.staticflickr.com/65535/50814433107_1ee617decc_o.jpg,,,33.97352143,-117.3253315,WEBHL,,
Winston Chung Hall,Building,"33.97526522810885, -117.32593916879492",https://live.staticflickr.com/65535/50813582173_007a935f2f_o.jpg,,,33.97526523,-117.3259392,CHUNG,,https://utils.gohighlander.app/map/floorplans/chung.webp
CHASS Interdisciplinary South,Building,"33.97479337253434, -117.33034995191372",https://live.staticflickr.com/65535/50813582198_b04a8e97c5_o.jpg,,,33.97479337,-117.33035,INTS,,https://utils.gohighlander.app/map/floorplans/ints.webp
Lot 18,Housing Parking Lot,"33.9822371, -117.3299161",,HOUSING PERMIT,,33.9822371,-117.3299161,,https://driver.chargepoint.com/mapCenter/33.981367253874/-117.326707870175/18,
Lot 26,Gold Parking Lot,"33.98161615596479, -117.33490839664547",,GOLD PERMIT,,33.98161616,-117.3349084,,,
Lot 29,Visitor Parking Lot,"33.982409100567594, -117.32604512509826",,VISITOR PERMIT,,33.9824091,-117.3260451,,,
Lot 28,Visitor Parking Lot,"33.981343155816155, -117.32458325748696",,VISITOR PERMIT,,33.98134316,-117.3245833,,,
Lot 23,Blue Parking Lot,"33.9796119034574, -117.32404343620101",,"BLUE/LIMITED GOLD PERMIT

Gold Permit can park after 6 pm Monday through Friday, all day on weekends (excludes Pay-By-Space and Reserved spaces.)",,33.9796119,-117.3240434,,,
Lot 21,Housing Parking Lot,"33.97902897072025, -117.3223711481379",,HOUSING PERMIT,,33.97902897,-117.3223711,,,
Lot 20 [EV Charging],Housing Parking Lot,"33.978966701968375, -117.32066162716055",,HOUSING PERMIT,,33.9789667,-117.3206616,,https://driver.chargepoint.com/mapCenter/33.97874444260632/-117.32078706856566/18,
Lot 25,Gold Parking Lot,"33.978837407498496, -117.32910284792172",,GOLD PERMIT (LIMIT APPLY),,33.97883741,-117.3291028,,,
