Name,Type,Coords,latitude,longitude,Short,Structure
Lot 16,Housing Parking Lot,"33.975408149386205, -117.32541927140177",33.97540815,-117.3254193,,Parking Lot
Lot 13,Blue Parking Lot,"33.97491414890982, -117.32049454326845",33.97491415,-117.3204945,,Parking Lot
Lot 1 [EV Charging],Blue Parking Lot,"33.974123733087566, -117.33239654732539",33.97412373,-117.3323965,,Parking Lot
Lot 19,Red Parking Lot,"33.975641640444366, -117.32987523109608",33.97564164,-117.3298752,,Parking Lot
Lot 50 [EV Charging],Gold Parking Lot,"33.97470142220916, -117.33688565945509",33.97470142,-117.3368857,,Parking Lot
Lot 51,Gold Parking Lot,"33.97419827302722, -117.33661889656237",33.97419827,-117.3366189,,Parking Lot
Lot 11,Red Parking Lot,"33.97231624406329, -117.32461203114539",33.97231624,-117.324612,,Parking Lot
Lot 41,Red Parking Lot,"33.97542195864461, -117.3315985434257",33.97542196,-117.3315985,,Parking Lot
Lot 12,Red Parking Lot,,33.97489815,-117.3268339,,Parking Lot
Lot 42,Red Parking Lot,,33.97489815,-117.3268339,,Parking Lot
Lot 9 [EV Charging],Blue Parking Lot,"33.97119691261777, -117.32317218611817",33.97119691,-117.3231722,,Parking Lot
Lot 43,Blue Parking Lot,"33.970089592370826, -117.3245674590821",33.97008959,-117.3245675,,Parking Lot
,,,33.97489815,-117.3268339,,
Lot 3,Red Parking Lot,"33.968022884844096, -117.32628665013907",33.96802288,-117.3262867,,Parking Lot
Lot 44,Red Parking Lot,,33.97489815,-117.3268339,,Parking Lot
Lot 6 [EV Charging],Blue Parking Lot,"33.969773870307485, -117.32745961574527",33.96977387,-117.3274596,,Parking Lot
Lot 7,Red Parking Lot,,33.97489815,-117.3268339,,Parking Lot
Lot 5,Blue Parking Lot,"33.97065583673345, -117.32948428390678",33.97065584,-117.3294843,,Parking Lot
Lot 32,Gold Parking Lot,"33.9690367432436, -117.33087213345827",33.96903674,-117.3308721,,Parking Lot
Lot 30 [EV Charging],Gold Parking Lot,"33.9691596639425, -117.33278786975183",33.96915966,-117.3327879,,Parking Lot
Lot 31,Blue Parking Lot,"33.967914860207294, -117.33492714887231",33.96791486,-117.3349271,,Parking Lot
Lot 10,Red Parking Lot,"33.973698142790454, -117.3230562608926",33.97369814,-117.3230563,,Parking Lot
Lot 14,Visitor Parking Lot,"33.9756315189103, -117.32180714167997",33.97563152,-117.3218071,,Parking Lot
Big Springs [EV Charging],Housing Parking Lot,"33.976289068846775, -117.31931834848604",33.97628907,-117.3193183,,Parking Lot
Panda Express,Dinning,"33.97419807457483, -117.32884461225846",33.97419807,-117.3288446,,Dinning
Chronic Tacos,Dinning,"33.97412600606189, -117.32885719045595",33.97412601,-117.3288572,,Dinning
Hibachi-San,Dinning,"33.974045403047434, -117.32887777296094",33.9740454,-117.3288778,,Dinning
