Name,Type,Coords,latitude,longitude,Short,Structure
Purchasing Dept.,Building,"33.9803528960616, -117.32362409726042",33.98035289999999975,-117.32362410000000352,,Classroom
R Garden,Building,"33.97123352693859, -117.33475526242559",33.97123352999999923,-117.33475529999999765,,Classroom
Tomas Rivera Library,Building,"33.972639768272145, -117.32796369150796",33.97263977000000068,-117.32796369999999797,RIVL,Classroom
SOM Education Building 1,Building,"33.97379231647555, -117.32399064424843",33.97379232000000115,-117.32399060000000190,SOMED,Classroom
,Building,"33.97054175483176, -117.32549845770143",33.97054175000000242,-117.32549849999999481,,Classroom
Student First Credit Union,Building,"33.97748649672321, -117.3383948912393",33.97748649999999770,-117.33839489999999728,,Classroom
Skye Hall,Building,"33.975239306855336, -117.32888318580108",33.97523930999999919,-117.32888320000000704,SKYE,Classroom
Science Laboratories 1,Building,"33.97392970104085, -117.32624965588096",33.97392969999999934,-117.32624970000000530,,Classroom
Spieth Hall,Building,"33.972820603366415, -117.32661170863315",33.97282059999999859,-117.32661170000000084,SPTH,Classroom
Sproul Hall,Building,"33.9727666972629, -117.32976088278475",33.97276670000000109,-117.32976089999999658,SPR,Classroom
Stonehaven Apts,Building,"33.98401705816052, -117.33192029136661",33.98401705999999933,-117.33192029999999306,STONE,Classroom
Student Recreation Center (SRC),Building,"33.978849196942846, -117.32867026203184",33.97884919999999909,-117.32867029999999886,SRC,Classroom
Student Services,Building,"33.97418943152255, -117.3296616457763",33.97418943000000269,-117.32966159999999434,SSB,Classroom
Student Success Center,Building,"33.974240795486644, -117.33055645441183",33.97424079999999691,-117.33055650000000014,SSC,Classroom
UCR Baseball Complex,Building,"33.982246250628116, -117.33410431264535",33.98224625000000287,-117.33410430000000702,,Classroom
UCR Extension Center,Building,"33.97614548687842, -117.3394506447726",33.97614549000000039,-117.33945060000000638,UCREX,Classroom
University Lecture Hall (UNLH 1000),Building,"33.9756998339183, -117.3284236152146",33.97569983000000349,-117.32842359999999360,UNLH,Classroom
University Office Building,Building,"33.97173529927461, -117.32495073457868",33.97173529999999886,-117.32495070000000226,UOB,Classroom
University Theatre,Building,"33.971354256964325, -117.32887413320228",33.97135425999999825,-117.32887409999999306,HUMN 400,Classroom
University Village,Building,"33.97690120828535, -117.33759607202164",33.97690121000000119,-117.33759609999999896,UV,Classroom
University Village Theater,Building,"33.97701700559124, -117.33788866640315",33.97701700999999730,-117.33788869999999349,,Classroom
USDA Salinity Laboratory,Building,"33.973720225617484, -117.32160600880492",33.97372022999999785,-117.32160600000000272,,Classroom
Watkins Hall,Building,"33.9725680619397, -117.32901772372882",33.97256806000000040,-117.32901769999999431,WAT,Classroom
Watkins 1000,Building,"33.97320211147757, -117.32893471740381",33.97320211000000256,-117.32893470000000491,,Classroom
Webber Hall,Building,"33.9735214310645, -117.32533148834403",33.97352142999999813,-117.32533150000000433,WEBHL,Classroom
Winston Chung Hall,Building,"33.97526522810885, -117.32593916879492",33.97526522999999798,-117.32593919999999343,CHUNG,Classroom
CHASS Interdisciplinary South,Building,"33.97479337253434, -117.33034995191372",33.97479337000000044,-117.33034999999999570,INTS,Classroom
Lot 18,Housing Parking Lot,"33.9822371, -117.3299161",33.98223709999999897,-117.32991610000000549,,Parking Lot
Lot 26,Gold Parking Lot,"33.98161615596479, -117.33490839664547",33.98161616000000151,-117.33490840000000333,,Parking Lot
Lot 29,Visitor Parking Lot,"33.982409100567594, -117.32604512509826",33.98240909999999815,-117.32604510000000175,,Parking Lot
Lot 28,Visitor Parking Lot,"33.981343155816155, -117.32458325748696",33.98134316000000155,-117.32458330000000046,,Parking Lot
Lot 23,Blue Parking Lot,"33.9796119034574, -117.32404343620101",33.97961190000000187,-117.32404339999999365,,Parking Lot
Lot 21,Housing Parking Lot,"33.97902897072025, -117.3223711481379",33.97902897000000166,-117.32237109999999802,,Parking Lot
Lot 20 [EV Charging],Housing Parking Lot,"33.978966701968375, -117.32066162716055",33.97896670000000086,-117.32066159999999400,,Parking Lot
Lot 25,Gold Parking Lot,"33.978837407498496, -117.32910284792172",33.97883740999999702,-117.32910280000000114,,Parking Lot
Lot 24 [EV Charging],Blue Parking Lot,"33.97809861118095, -117.3305694047396",33.97809861000000353,-117.33056940000000168,,Parking Lot
Lot 60,Blue Parking Lot,"33.97661630769582, -117.33707759814634",33.97661630999999716,-117.33707760000000064,,Parking Lot
Lot 15 [EV Charging],Red Parking Lot,"33.976698307683115, -117.32429737283547",33.97669831000000329,-117.32429740000000606,,Parking Lot
Lot 16,Housing Parking Lot,"33.975408149386205, -117.32541927140177",33.97540814999999981,-117.32541929999999297,,Parking Lot
Lot 13,Blue Parking Lot,"33.97491414890982, -117.32049454326845",33.97491414999999648,-117.32049449999999524,,Parking Lot
Lot 1 [EV Charging],Blue Parking Lot,"33.974123733087566, -117.33239654732539",33.97412373000000230,-117.33239650000000154,,Parking Lot
Lot 19,Red Parking Lot,"33.975641640444366, -117.32987523109608",33.97564163999999920,-117.32987520000000359,,Parking Lot
Lot 50 [EV Charging],Gold Parking Lot,"33.97470142220916, -117.33688565945509",33.97470142000000237,-117.33688569999999629,,Parking Lot
Lot 51,Gold Parking Lot,"33.97419827302722, -117.33661889656237",33.97419827000000225,-117.33661890000000483,,Parking Lot
Lot 11,Red Parking Lot,"33.97231624406329, -117.32461203114539",33.97231623999999783,-117.32461200000000190,,Parking Lot
Lot 41,Red Parking Lot,"33.97542195864461, -117.3315985434257",33.97542195999999848,-117.33159849999999835,,Parking Lot
Lot 12,Red Parking Lot,,33.97489815000000135,-117.32683389999999690,,Parking Lot
Lot 42,Red Parking Lot,,33.97489815000000135,-117.32683389999999690,,Parking Lot
Lot 9 [EV Charging],Blue Parking Lot,"33.97119691261777, -117.32317218611817",33.97119691000000330,-117.32317220000000191,,Parking Lot
Lot 43,Blue Parking Lot,"33.970089592370826, -117.3245674590821",33.97008959000000061,-117.32456750000000056,,Parking Lot
,,,33.97489815000000135,-117.32683389999999690,,
Lot 3,Red Parking Lot,"33.968022884844096, -117.32628665013907",33.96802287999999947,-117.32628669999999715,,Parking Lot
Lot 44,Red Parking Lot,,33.97489815000000135,-117.32683389999999690,,Parking Lot
Lot 6 [EV Charging],Blue Parking Lot,"33.969773870307485, -117.32745961574527",33.96977386999999737,-117.32745959999999741,,Parking Lot
Lot 7,Red Parking Lot,,33.97489815000000135,-117.32683389999999690,,Parking Lot
Lot 5,Blue Parking Lot,"33.97065583673345, -117.32948428390678",33.97065583999999916,-117.32948430000000428,,Parking Lot
Lot 32,Gold Parking Lot,"33.9690367432436, -117.33087213345827",33.96903673999999995,-117.33087209999999345,,Parking Lot
Lot 30 [EV Charging],Gold Parking Lot,"33.9691596639425, -117.33278786975183",33.96915966000000253,-117.33278789999999958,,Parking Lot
Lot 31,Blue Parking Lot,"33.967914860207294, -117.33492714887231",33.96791486000000049,-117.33492710000000159,,Parking Lot
Lot 10,Red Parking Lot,"33.973698142790454, -117.3230562608926",33.97369814000000332,-117.32305630000000463,,Parking Lot
Lot 14,Visitor Parking Lot,"33.9756315189103, -117.32180714167997",33.97563152000000031,-117.32180710000000090,,Parking Lot
Big Springs [EV Charging],Housing Parking Lot,"33.976289068846775, -117.31931834848604",33.97628906999999998,-117.31931830000000616,,Parking Lot
Panda Express,Dinning,"33.97419807457483, -117.32884461225846",33.97419806999999992,-117.32884459999999649,,Dinning
Chronic Tacos,Dinning,"33.97412600606189, -117.32885719045595",33.97412600999999910,-117.32885720000000163,,Dinning
Hibachi-San,Dinning,"33.974045403047434, -117.32887777296094",33.97404540000000139,-117.32887780000000078,,Dinning
The Habit Burger Grill,Dinning,"33.97459343228412, -117.32823791583179",33.97459342999999876,-117.32823790000000486,,Dinning
Subway,Dinning,"33.97474864206091, -117.32805176648175",33.97474864000000139,-117.32805179999999723,,Dinning
The Coffee Bean & Tea Leaf,Dinning,"33.97453722110588, -117.32807402346926",33.97453722000000198,-117.32807400000000086,,Dinning
Bytes,Dinning,"33.975460315735994, -117.32631989957157",33.97546032000000338,-117.32631990000000144,,Dinning
Emerbees,Dinning,"33.97655332834192, -117.3279913218604",33.97655333000000155,-117.32799129999999366,,Dinning
Ivan’s at Hinderaker,Dinning,"33.973361399959366, -117.33132282834951",33.97336140000000171,-117.33132279999999525,,Dinning
The Market at Glen Mor,Dinning,"33.975610756336714, -117.32100067225599",33.97561076000000213,-117.32100069999999903,,Dinning
Starbucks,Dinning,"33.97588002133932, -117.32010358255275",33.97588001999999818,-117.32010359999999594,,Dinning
Glasgow Restaurant,Dinning,"33.979169257661894, -117.32451504894244",33.97916925999999904,-117.32451500000000522,,Dinning
Lothian Restaurant,Dinning,"33.97580618165497, -117.32248710853095",33.97580617999999930,-117.32248710000000358,,Dinning
The Barn,Dinning,"33.97227153218132, -117.33053847451447",33.97227153000000044,-117.33053850000000295,,Dinning
Scotty’s Market in HUB,Dinning,"33.97459520265385, -117.32870684864041",33.97459520000000310,-117.32870680000000618,,Dinning
Glasgow,Building,"33.97799917213968, -117.3245138796389",33.97799916999999681,-117.32451389999999947,,Classroom
Olmsted Hall 2,Building,"33.971557825117024, -117.32871365507008",33.97155783000000184,-117.32871369999999445,,Classroom
Scotty’s School of Medicine,Dinning,"33.973793504311416,-117.32443050702041",33.97379349999999931,-117.32443050000000540,,Dinning
School of Business Building,Building,"33.969444, -117.325230",33.96944400000000286,-117.32523000000000479,SBB,Classroom
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
,,,33.97489815000000135,-117.32683389999999690,,
